"Unidad médica","Estado","Institución","CLUES","% de Ocupación"
"Hgzmf 11 Cd. Delicias","Chihuahua","IMSS","CHIMS000206","100"
"Hgzmf 11 Cd. Delicias","Chihuahua","IMSS","CHIMS000206","100"
"Hospital Central del Estado","Chihuahua","SSA","CHSSA000676","100"
"Hospital Central del Estado","Chihuahua","SSA","CHSSA000676","100"
"Fresnillo","Zacatecas","ISSSTE","ZSIST000032","100"
"Fresnillo","Zacatecas","ISSSTE","ZSIST000032","100"
"Hgzmf 4 Cd. Carmen","Campeche","IMSS","CCIMS000045","100"
"Hgzmf 4 Cd. Carmen","Campeche","IMSS","CCIMS000045","100"
"Hgzmf 4 Cd. Carmen","Campeche","IMSS","CCIMS000045","100"
"Hgzmf 4 Cd. Carmen","Campeche","IMSS","CCIMS000045","100"
"Cd. Cancun","Quintana Roo","ISSSTE","QRIST000055","100"
"Cd. Cancun","Quintana Roo","ISSSTE","QRIST000055","100"
"Cd. Cancun","Quintana Roo","ISSSTE","QRIST000055","100"
"Cd. Cancun","Quintana Roo","ISSSTE","QRIST000055","100"
"Hgz 2 Hermosillo","Sonora","IMSS","SRIMS000413","100"
"Hgz 2 Hermosillo","Sonora","IMSS","SRIMS000413","100"
"Hgr 251 Metepec","México","IMSS","MCIMS001185","100"
"Hgr 251 Metepec","México","IMSS","MCIMS001185","100"
"Hospital General Pabellón de Arteaga","Aguascalientes","SSA","ASSSA000614","100"
"Hospital General Pabellón de Arteaga","Aguascalientes","SSA","ASSSA000614","100"
"Hospital General Pabellón de Arteaga","Aguascalientes","SSA","ASSSA000614","100"
"Hospital General Pabellón de Arteaga","Aguascalientes","SSA","ASSSA000614","100"
"Presidente Gral. Lazaro Cardenas","Chihuahua","ISSSTE","CHIST000030","100"
"Presidente Gral. Lazaro Cardenas","Chihuahua","ISSSTE","CHIST000030","100"
"Presidente Gral. Lazaro Cardenas","Chihuahua","ISSSTE","CHIST000030","100"
"Hospital Regional Universitario","Colima","SSA","CMSSA000125","100"
"Hospital Regional Universitario","Colima","SSA","CMSSA000125","100"
"Hospital Regional Universitario","Colima","SSA","CMSSA000125","100"
"Hospital Regional Universitario","Colima","SSA","CMSSA000125","100"
"Hgz 2 Hermosillo","Sonora","IMSS","SRIMS000413","100"
"Hgz 2 Hermosillo","Sonora","IMSS","SRIMS000413","100"
"Hospital Militar Regional de Chihuahua Chih.","Chihuahua","SEDENA","CHSDN000026","100"
"Hospital Militar Regional de Chihuahua Chih.","Chihuahua","SEDENA","CHSDN000026","100"
"Presidente Gral. Lazaro Cardenas","Chihuahua","ISSSTE","CHIST000030","100"
"Hospital Militar Regional de Chihuahua Chih.","Chihuahua","SEDENA","CHSDN000026","100"
"Hospital General de Manzanillo","Colima","SSA","CMSSA001356","100"
"Hospital General de Manzanillo","Colima","SSA","CMSSA001356","100"
"Hospital General de Manzanillo","Colima","SSA","CMSSA001356","100"
"Hospital General de Manzanillo","Colima","SSA","CMSSA001356","100"
"Hgr 251 Metepec","México","IMSS","MCIMS001185","100"
"Hgr 251 Metepec","México","IMSS","MCIMS001185","100"
"Hgs 7 La Piedad","Michoacán de Ocampo","IMSS","MNIMS000260","100"
