"Unidad médica","Estado","Institución","CLUES","% de Ocupación"
"Gral. Jose Maria Morelos Y Pavon","Ciudad de México","ISSSTE","DFIST000155","100"
"Instituto Nacional de Enfermedades Respiratorias Ismael Cosío Villegas","Ciudad de México","SSA/CC","DFSSA004026","100"
"Primero de Octubre","Ciudad de México","ISSSTE","DFIST000090","100"
"Hospital General Las Américas","México","SSA","MCSSA010280","100"
"Hinfec Cm La Raza","Ciudad de México","IMSS","DFIMS000056","100"
"Hgz 1a Venados","Ciudad de México","IMSS","DFIMS000522","100"
"Bicentenario de La Independencia","México","ISSSTE","MCIST000425","71"
"20 de Noviembre","Ciudad de México","ISSSTE","DFIST000312","70"
"Hgz 1 Carlos Mcgregor","Ciudad de México","IMSS","DFIMS000534","67"
"Hgz 1 Tlaxcala","Tlaxcala","IMSS","TLIMS000136","50"
"Hgz 1 Oaxaca","Oaxaca","IMSS","OCIMS000136","50"
"Hospital General Queretaro","Querétaro","SSA","QTSSA001752","50"
"Hospital General Dr. Pedro Daniel Martínez","Michoacán de Ocampo","SSA","MNSSA003735","50"
"Toluca","México","ISSSTE","MCIST000215","50"
"Hgz 71 Verac","Veracruz de Ignacio de La Llave","IMSS","VZIMS001124","50"
"Hospital Regional de Alta Especialidad Ixtapaluca","México","SSA/CC","MCSSA018786","41"
"Veracruz","Veracruz de Ignacio de La Llave","ISSSTE","VZIST000301","40"
"Hgr 46 Guadalaja","Jalisco","IMSS","JCIMS000371","40"
"Hes 71 Torreon","Coahuila de Zaragoza","IMSS","CLIMS000490","38"
"Hes 1 Merida","Yucatán","IMSS","YNIMS000071","33"
"Hgr 196 Fidel Velazquez","México","IMSS","MCIMS000244","33"
"Instituto Nacional de Rehabilitación","Ciudad de México","SSA/CC","DFSSA003956","30"
"H.g. Dr. José María Rodríguez","México","SSA","MCSSA002184","29"
"Hes Puebla","Puebla","IMSS","PLIMS000200","26"
"Hgz 18 Playa del Carmen","Quintana Roo","IMSS","QRIMS000154","25"
"Hgzmf 2 Saltillo","Coahuila de Zaragoza","IMSS","CLIMS000333","25"
"Hgr 1 Ignacio García Tellez","Yucatán","IMSS","YNIMS000083","20"
"Hes Cmn Siglo Xxi","Ciudad de México","IMSS","DFIMS000580","19"
"Hospital Regional de Alta Especialidad de Oaxaca","Oaxaca","SSA/CC","OCSSA007483","18"
"Centenario de La Revolucion Mexicana","Morelos","ISSSTE","MSIST000293","17"
"Hgr 251 Metepec","México","IMSS","MCIMS001185","15"
"Hospital General Acapulco","Guerrero","SSA","GRSSA000010","14"
"Hg Dr. Miguel Silva","Michoacán de Ocampo","SSA","MNSSA001891","11"
"Hgzmf 2 Apizaco","Tlaxcala","IMSS","TLIMS000030","0"
"Hc Ixtlan de Juárez","Oaxaca","SSA","OCSSA000594","0"
"Hc Nejapa de Madero","Oaxaca","SSA","OCSSA019996","0"
"Hc Tamazulapan","Oaxaca","SSA","OCSSA000384","0"
"Hospital General Regional Dr. Guillermo Soberón Acevedo","Guerrero","SSA","GRSSA010061","0"
"Gral. Ignacio Zaragoza","Ciudad de México","ISSSTE","DFIST000160","0"
