"Unidad médica","Estado","Institución","CLUES","% de Ocupación"
"Dr. Santiago Ramon Y Cajal","Durango","ISSSTE","DGIST000042","100"
"H.g. Jilotepec","México","SSA","MCSSA010053","100"
"Dr. Belisario Dominguez","Chiapas","ISSSTE","CSIST000251","100"
"Xalapa","Veracruz de Ignacio de La Llave","ISSSTE","VZIST000120","100"
"El Fuerte","Sinaloa","IMSS-BIENESTAR","SLIMO000576","100"
"Hospital General Dr. Raymundo Abarca Alarcón","Guerrero","SSA","GRSSA009950","100"
"Hospital General Miguel Hidalgo Y Costilla Bicentenario","México","SSA","MCSSA005730","100"
"Hg Juchitan Dr. Macedonio Benitez Fuentes","Oaxaca","SSA","OCSSA007693","100"
"Comitan de Dominguez","Chiapas","ISSSTE","CSIST000065","100"
"Chilpancingo de Los Bravo","Guerrero","ISSSTE","GRIST000112","100"
"HG Chilapa de Álvarez","Guerrero","SSA","GRSSA003423","100"
"Hospital General Ixtlahuaca Valentin Gómez Farías","México","SSA","MCSSA002872","100"
"Hospital General San Felipe del Progreso","México","SSA","MCSSA005095","100"
"Tehuantepec","Oaxaca","ISSSTE","OCIST000252","100"
"Dr. Francisco Galindo Chavez","Coahuila de Zaragoza","ISSSTE","CLIST000123","100"
"Hospital General Torreón (Baja)","Coahuila de Zaragoza","SSA","CLSSA001614","100"
"Hospital Militar Regional de Irapuato Gto.","Guanajuato","SEDENA","GTSDN000010","100"
"Hes Oblatos","Jalisco","IMSS","JCIMS000301","100"
"Hospital General Los Mochis","Sinaloa","SSA","SLSSA000024","100"
"Hospital Real San José S.c","Jalisco","SMP","JCSMP000313","100"
"Veracruz","Veracruz de Ignacio de La Llave","ISSSTE","VZIST000301","100"
"Hospital de Alta Especialidad de Veracruz","Veracruz de Ignacio de La Llave","SSA","VZSSA006972","100"
"Hinfec Cm La Raza","Ciudad de México","IMSS","DFIMS000056","100"
"Centro Médico Lic. Adolfo López Mateos","México","SSA","MCSSA010222","100"
"Hgz 83 Morelia","Michoacán de Ocampo","IMSS","MNIMS000593","100"
"Chetumal","Quintana Roo","ISSSTE","QRIST000043","100"
"Hospital Militar Zona de Chetumal Q. Roo","Quintana Roo","SEDENA","QRSDN000015","100"
"5 de Diciembre","Baja California","ISSSTE","BCIST000040","100"
"Hospital General de Manzanillo","Colima","SSA","CMSSA001356","100"
"Hospital General Tula","Hidalgo","SSA","HGSSA015532","100"
"Hospital General de Mexicali","Baja California","SSA","BCSSA000440","100"
"H.g. Texcoco Guadalupe Victoria Bicentenario","México","SSA","MCSSA018412","100"
"H.g. Dr. Nicolás San Juan","México","SSA","MCSSA007661","100"
"Celaya","Guanajuato","ISSSTE","GTIST000045","100"
"Hospital Regional de Ciudad Guzman","Jalisco","SSA","JCSSA001326","100"
"Gral. Jose Maria Morelos Y Pavon","Ciudad de México","ISSSTE","DFIST000155","100"
"Hospital Para El Niño Imiem","México","SME","MCSME000011","100"
"Instituto Nacional de Ciencias Médicas Y Nutrición Salvador Zubirán","Ciudad de México","SSA/CC","DFSSA004055","100"
"Dr. Manuel Cardenas de La Vega","Sinaloa","ISSSTE","SLIST000085","100"
"Hgz 17 Monterrey","Nuevo León","IMSS","NLIMS000356","100"
"Huajuapan de Leon","Oaxaca","ISSSTE","OCIST000042","100"
"Hospital General Culiacan","Sinaloa","SSA","SLSSA002660","100"
"Mazatlan","Sinaloa","ISSSTE","SLIST000196","100"
"Ocosingo","Chiapas","ISSSTE","CSIST000140","100"
"Hospital General de Gómez Palacio","Durango","SSA","DGSSA000676","100"
"Hospital General Navojoa","Sonora","SSA","SRSSA001670","100"
"Hgz 57 La Quebrada","México","IMSS","MCIMS000874","100"
"Leon","Guanajuato","ISSSTE","GTIST000091","100"
"Hospital General Reynosa Dr. José María Cantú Garza","Tamaulipas","SSA","TSSSA001772","100"
"Hg Oaxaca Dr. Aurelio Valdivieso","Oaxaca","SSA","OCSSA000985","100"
"Presidente Benito Juarez","Oaxaca","ISSSTE","OCIST000112","100"
"19 (extensión Hospital Huejutla)","Hidalgo","SSA","HGSSA005032","100"
"Hgz 1 Oaxaca","Oaxaca","IMSS","OCIMS000136","100"
"Hospital General Regional No. 2 El Marques","Querétaro","IMSS","QTIMS000285","100"
"Hospital Militar Regional de Mérida Yuc.","Yucatán","SEDENA","YNSDN000014","100"
"Hgz 14 C/unidad Quemados","Sonora","IMSS","SRIMS000900","98"
"Hgz No. 20","Puebla","IMSS","PLIMS000586","97"
"Hospital Naval de Acapulco","Guerrero","SEMAR","GRSMA000015","94"
"Hgz 30 Mexicali","Baja California","IMSS","BCIMS000122","94"
"Hospital Regional de Alta Especialidad de Oaxaca","Oaxaca","SSA/CC","OCSSA007483","94"
"Hgz 67 Apodaca","Nuevo León","IMSS","NLIMS000636","92"
"Hgz 1 Carlos Mcgregor","Ciudad de México","IMSS","DFIMS000534","92"
"Centro Médico Issemym Lic. Arturo Montiel Rojas Issemym","México","SME","MCSME000921","92"
"Hgr 251 Metepec","México","IMSS","MCIMS001185","91"
"Hgr 110 Oblatos","Jalisco","IMSS","JCIMS000354","90"
"Hgr 72 Gustavo Baz","México","IMSS","MCIMS000746","89"
"Hospital General Dr. Manuel Gea González","Ciudad de México","SSA/CC","DFSSA003961","87"
"Hospital Regional Cd. Madero","Tamaulipas","PEMEX","TSPMX000010","86"
"Hgzmf 2 San Luis Potosi","San Luis Potosí","IMSS","SPIMS000183","86"
"22/o. Batallón de   Infantería","Ciudad de México","SEDENA","DFSDN000103","86"
"Primero de Octubre","Ciudad de México","ISSSTE","DFIST000090","85"
"Hospital Regional de Alta Especialidad de Zumpango","México","SSA","MCSSA018774","84"
"Acapulco","Guerrero","ISSSTE","GRIST000025","83"
"Hgz 68 Tulpetlac","México","IMSS","MCIMS000990","83"
"Hospital Universitario Dr. José Eleuterio González","Nuevo León","HUN","NLHUN000014","83"
"20 de Noviembre","Ciudad de México","ISSSTE","DFIST000312","81"
"Hgr 1 Ignacio García Tellez","Yucatán","IMSS","YNIMS000083","81"
"19 (extensión Hospital Pachuca)","Hidalgo","SSA","HGSSA005020","80"
"Hgr 6 Cd. Madero","Tamaulipas","IMSS","TSIMS000071","80"
"Hospital General de México","Ciudad de México","SSA/CC","DFSSA003973","80"
"Hospital Militar Regional de Acapulco Gro.","Guerrero","SEDENA","GRSDN000014","80"
"Hgz 1 Tlaxcala","Tlaxcala","IMSS","TLIMS000136","80"
"Hgz 33 Felix U. Gomez","Nuevo León","IMSS","NLIMS000361","80"
"Hgz 3 Cancun","Quintana Roo","IMSS","QRIMS000060","79"
"Hgz 2 Tuxtla Gutiérrez","Chiapas","IMSS","CSIMS000251","79"
"Hgzmf 8 San Angel","Ciudad de México","IMSS","DFIMS000464","79"
"Hospital General de Zona No. 5","Sonora","IMSS","SRIMS000920","79"
"Hgz 4 Villa Guadalupe","Nuevo León","IMSS","NLIMS000204","78"
"Hgr 1 Tijuana","Baja California","IMSS","BCIMS000373","78"
"Centenario Hospital Miguel Hidalgo","Aguascalientes","SSA","ASSSA000025","78"
"Hospital Juárez de México","Ciudad de México","SSA/CC","DFSSA003944","77"
"Hg Cm La Raza","Ciudad de México","IMSS","DFIMS000061","76"
"H.g. Tenancingo","México","SSA","MCSSA006430","75"
"Hgzmf 2 Apizaco","Tlaxcala","IMSS","TLIMS000030","75"
"Hospital General de San Luis Río Colorado","Sonora","SSA","SRSSA002085","75"
"Rafael Lucio","Veracruz de Ignacio de La Llave","SSA","VZSSA004855","75"
"Morelia","Michoacán de Ocampo","ISSSTE","MNIST000120","75"
"Hgz 49 Los Mochis","Sinaloa","IMSS","SLIMS000020","75"
"Hgr 1 Queretaro","Querétaro","IMSS","QTIMS000092","75"
"Bicentenario de La Independencia","México","ISSSTE","MCIST000425","74"
"Hospital General Regional No. 200","México","IMSS","MCIMS001171","73"
"Hgz 46 Dr. B Reynés B","Tabasco","IMSS","TCIMS000121","73"
"Hes 2 Cm Obregon","Sonora","IMSS","SRIMS000150","73"
"Hgzmf 8 Ensenada","Baja California","IMSS","BCIMS000011","72"
"Hgz 3 Tuxtepec","Oaxaca","IMSS","OCIMS000182","71"
"Hospital Regional Minatitlán","Veracruz de Ignacio de La Llave","PEMEX","VZPMX000054","71"
"Tacuba","Ciudad de México","ISSSTE","DFIST000534","69"
"Lic. Adolfo Lopez Mateos","Ciudad de México","ISSSTE","DFIST000201","67"
"Hospital General San Francisco","Nayarit","SSA","NTSSA002084","67"
"Hgz 6 Cd. Valles","San Luis Potosí","IMSS","SPIMS000072","67"
"Hospital General Dr. Desiderio G. Rosado Carbajal","Tabasco","SSA","TCSSA017420","67"
"Hospital General del Valle del Mezquital Ixmiquilpan","Hidalgo","SSA","HGSSA001590","67"
"Dr. Patricio Trueba Regil","Campeche","ISSSTE","CCIST000021","67"
"Cd. Valles","San Luis Potosí","ISSSTE","SPIST000055","67"
"Hospital General de Axapusco","México","SSA","MCSSA014143","67"
"Hgs 7 La Piedad","Michoacán de Ocampo","IMSS","MNIMS000260","67"
"Hospital General Guasave","Sinaloa","SSA","SLSSA001255","67"
"Hes 1 Merida","Yucatán","IMSS","YNIMS000071","67"
"Hospital General Veracruz","Veracruz de Ignacio de La Llave","PEMEX","VZPMX000071","67"
"Hospital General Ajusco Medio","Ciudad de México","SSA","DFSSA018166","65"
"Hgz 2 Aguascalientes","Aguascalientes","IMSS","ASIMS000016","65"
"Hgz 58 Las Margaritas","México","IMSS","MCIMS000734","64"
"Hgzmf 36 Coatzacoalcos","Veracruz de Ignacio de La Llave","IMSS","VZIMS000231","64"
"Troncoso","Ciudad de México","IMSS","DFIMS000312","64"
"Hospital de Traumatología Y Ortopedia Doctor Y General Rafael Moreno Valle","Puebla","SSA","PLSSA009394","63"
"H.g. Dr.salvador González Herrejon","México","SSA","MCSSA001011","63"
"Gral. Ignacio Zaragoza","Ciudad de México","ISSSTE","DFIST000160","62"
"Clínica de La Mujer San Cristóbal de Las Casas","Chiapas","SSA","CSSSA019090","62"
"Hes Puebla","Puebla","IMSS","PLIMS000200","61"
"Hg Hospital General de Matamoros Dr. Alfredo Pumarejo","Tamaulipas","SSA","TSSSA001031","60"
"Dr. Dario Fernandez Fierro","Ciudad de México","ISSSTE","DFIST000324","60"
"19 Palenque","Chiapas","SSA","CSSSA019510","60"
"Hospital Civil Dr. Antonio González Guevara","Nayarit","SSA","NTSSA001594","60"
"Hgz 4 Celaya","Guanajuato","IMSS","GTIMS000062","60"
"Hospital General de Teziutlán","Puebla","SSA","PLSSA008485","60"
"Hospital Regional de Alta Especialidad del Bajío","Guanajuato","SSA/CC","GTSSA016796","59"
"Hgr 1 Culiacán","Sinaloa","IMSS","SLIMS000131","59"
"Hes Cm La Raza","Ciudad de México","IMSS","DFIMS000020","58"
"Hospital Militar de Zona de Mexicali B. C.","Baja California","SEDENA","BCSDN000012","57"
"Hospital Militar de Zona de Santa María Rayón","México","SEDENA","MCSDN000385","57"
"Hgz 15 Tehuacan","Puebla","IMSS","PLIMS000405","57"
"Hgz No. 48 San Pedro Xalpa","Ciudad de México","IMSS","DFIMS000831","57"
"H.g. Valle de Bravo","México","SSA","MCSSA007982","57"
"Hospital Dr. Manuel Campos","Campeche","SSA","CCSSA000100","57"
"Centro Estatal de Cuidados Críticos Salamanca","Guanajuato","SSA","GTSSA017315","57"
"Hospital Regional Reynosa","Tamaulipas","PEMEX","TSPMX000022","57"
"H.g. Dr. Gustavo Baz Prada","México","SSA","MCSSA004231","56"
"Hgzmf 1 Tapachula","Chiapas","IMSS","CSIMS000205","56"
"Instituto Nacional de Enfermedades Respiratorias Ismael Cosío Villegas","Ciudad de México","SSA/CC","DFSSA004026","56"
"Hgzmf 16 Torreon","Coahuila de Zaragoza","IMSS","CLIMS000432","56"
"Hospital Regional de Alta Especialidad Ixtapaluca","México","SSA/CC","MCSSA018786","55"
"Hospital Regional Río Blanco","Veracruz de Ignacio de La Llave","SSA","VZSSA004860","55"
"Hgr1 C.obregon","Sonora","IMSS","SRIMS000145","55"
"Hgrmf 1 Cuernavaca","Morelos","IMSS","MSIMS000054","55"
"Hgz 1 Zacatecas","Zacatecas","IMSS","ZSIMS000353","55"
"Hospital Regional de Alta Especialidad Dr. Juan Graham Casasus","Tabasco","SSA","TCSSA001064","54"
"Hospital Central Norte","Ciudad de México","PEMEX","DFPMX000012","54"
"Fundacion Santos Y de La Garza Evia Ibp","Nuevo León","SMP","NLSMP000023","54"
"Hospital General de Tulancingo","Hidalgo","SSA","HGSSA018000","54"
"Hospital Naval de Veracruz","Veracruz de Ignacio de La Llave","SEMAR","VZSMA000040","53"
"Hgr 196 Fidel Velazquez","México","IMSS","MCIMS000244","52"
"Hgz 1a Venados","Ciudad de México","IMSS","DFIMS000522","52"
"19 Tuxtla","Chiapas","SSA","CSSSA009471","52"
"Hospital Metropolitano","Nuevo León","SSA","NLSSA004046","51"
"Hgr 20 Tijuana","Baja California","IMSS","BCIMS000262","50"
"Hgz 1 Aguascalientes","Aguascalientes","IMSS","ASIMS000021","50"
"Hospital Regional de Puerto Vallarta","Jalisco","SSA","JCSSA004230","50"
"Hg Infantil Eva Samano de López Mateos","Michoacán de Ocampo","SSA","MNSSA001874","50"
"Enfermería Militar de Temamatla Mex.","México","SEDENA","MCSDN000011","50"
"Yuc","Yucatán","IMSS-BIENESTAR","YNIMO000311","50"
"Cd. Obregon","Sonora","ISSSTE","SRIST000046","50"
"Hgz 11 Nuevo Laredo","Tamaulipas","IMSS","TSIMS000276","50"
"Hospital Central Sur de Alta Especialidad","Ciudad de México","PEMEX","DFPMX000024","50"
"Hospital Naval de Mazatlan","Sinaloa","SEMAR","SLSMA000022","50"
"Hgzmf 3 Mazatlan","Sinaloa","IMSS","SLIMS000341","50"
"Instituto Nacional de Cancerología","Ciudad de México","SSA/CC","DFSSA004043","50"
"Hospital Militar Regional de Especialidades de Monterrey N. L.","Nuevo León","SEDENA","NLSDN000012","50"
"Tampico","Tamaulipas","ISSSTE","TSIST000182","50"
"Hgz 50 Tangamanga","San Luis Potosí","IMSS","SPIMS000376","50"
"Hgz 30 Iztacalco","Ciudad de México","IMSS","DFIMS000324","50"
"Hospital General Atlacomulco","México","SSA","MCSSA010123","50"
"Hospital Materno Perinatal Mónica Pretelini Sáenz","México","SSA","MCSSA007673","50"
"Cd. Juarez","Chihuahua","ISSSTE","CHIST000112","50"
"Hgzmf 2 Irapuato","Guanajuato","IMSS","GTIMS000185","50"
"Hgz 53 Los Reyes Paz","México","IMSS","MCIMS000676","50"
"Bochil","Chiapas","IMSS-BIENESTAR","CSIMO000433","50"
"Hospital Comunitario Colotlan","Jalisco","SSA","JCSSA001454","50"
"Ocozocoautla de Espinosa","Chiapas","IMSS-BIENESTAR","CSIMO003081","50"
"Hospital General Las Américas","México","SSA","MCSSA010280","50"
