Estado,Hospitalizados (%),Ventilación (%),UCI y Ventilación (%),Fecha
Oaxaca,100,0,0,2020-04-01
Ciudad de México,100,65.82,65.82,2020-04-01
México,100,16.66,33.33,2020-04-01
Guanajuato,100,7.69,7.69,2020-04-01
Oaxaca,100,0,8.33,2020-04-02
Ciudad de México,100,60.2,61,2020-04-02
México,100,16.66,16.66,2020-04-02
Guanajuato,100,8.33,8.33,2020-04-02
Oaxaca,100,0,0,2020-04-03
Ciudad de México,43.72,36.76,75,2020-04-03
Oaxaca,100,5.26,0,2020-04-04
Ciudad de México,45.38,36.43,64.93,2020-04-04
México,25.92,17.39,28.57,2020-04-04
Guanajuato,16.66,4.34,7.69,2020-04-04
Oaxaca,100,5.55,0,2020-04-05
Ciudad de México,45.13,46.83,65.43,2020-04-05
México,31.03,5,16.66,2020-04-05
Guanajuato,16.66,4.34,7.69,2020-04-05
Oaxaca,100,5,0,2020-04-06
Ciudad de México,44.72,46.79,58.75,2020-04-06
México,25.92,13.63,23.07,2020-04-06
Guanajuato,15.38,4.34,7.69,2020-04-06
Nayarit,100,11.11,0,2020-04-07
Hidalgo,50,6.66,0,2020-04-07
Ciudad de México,41.81,23.83,20.98,2020-04-07
Sinaloa,38.46,24.32,3.7,2020-04-07
Chiapas,30.76,0,0,2020-04-07
Jalisco,16.66,0,0,2020-04-07
Durango,16.66,5,7.69,2020-04-07
México,15.46,10.78,9.41,2020-04-07
Puebla,15.15,0,0,2020-04-07
Oaxaca,13.33,2.38,0,2020-04-07
Baja California Sur,8.33,14.28,4.16,2020-04-07
Yucatán,7.69,5.26,0,2020-04-07
Nuevo León,5.55,5.12,10,2020-04-07
Sonora,3.44,0,0,2020-04-07
Aguascalientes,0,0,0,2020-04-07
Guanajuato,0,9.09,0,2020-04-07
Querétaro,0,0,0,2020-04-07
Veracruz de Ignacio de La Llave,0,13.63,15,2020-04-07
Tlaxcala,0,7.69,0,2020-04-07
Tabasco,0,0,0,2020-04-07
Coahuila de Zaragoza,0,14.28,0,2020-04-07
Morelos,0,0,0,2020-04-07
Zacatecas,0,0,0,2020-04-07
Tamaulipas,0,0,0,2020-04-07
Michoacán de Ocampo,0,4,5.55,2020-04-07
Baja California,0,13.04,0,2020-04-07
San Luis Potosí,-6.66,7.69,0,2020-04-07
Chihuahua,-9.09,9.09,0,2020-04-07
Nayarit,71.42,11.76,0,2020-04-08
Ciudad de México,39.98,17.58,19.31,2020-04-08
Quintana Roo,29.55,13.75,10,2020-04-08
Baja California,25.67,5.83,0,2020-04-08
Sinaloa,25.4,16.12,0,2020-04-08
Chiapas,23.8,4.34,0,2020-04-08
Aguascalientes,22.22,4.54,0,2020-04-08
Puebla,18.18,1.98,6.12,2020-04-08
Querétaro,17.85,2.63,0,2020-04-08
Oaxaca,17.77,8.88,10.71,2020-04-08
Michoacán de Ocampo,17.5,2.52,5,2020-04-08
México,17.24,6.85,6.6,2020-04-08
Coahuila de Zaragoza,15.9,1.86,7.14,2020-04-08
Tabasco,15,0,0,2020-04-08
Baja California Sur,14.89,9.67,0,2020-04-08
Tlaxcala,13.51,3.44,0,2020-04-08
Sonora,12.35,4,2.56,2020-04-08
Hidalgo,12.19,8.69,0,2020-04-08
Morelos,11.68,0,1.63,2020-04-08
Chihuahua,11.65,4.41,0,2020-04-08
Veracruz de Ignacio de La Llave,11.37,1.78,4.34,2020-04-08
Durango,10,1.81,10,2020-04-08
San Luis Potosí,9.49,3.1,0,2020-04-08
Yucatán,6.56,3.73,5.12,2020-04-08
Guerrero,6.45,11.76,0,2020-04-08
Tamaulipas,6.25,0,0,2020-04-08
Jalisco,5.82,2.19,0,2020-04-08
Campeche,3.12,8.33,0,2020-04-08
Colima,3.12,0,0,2020-04-08
Guanajuato,2.6,2.32,0,2020-04-08
Nuevo León,1.55,0.54,4.16,2020-04-08
Zacatecas,1.38,1.21,0,2020-04-08
Ciudad de México,41.04,28.22,50.62,2020-04-09
México,31.05,17.6,25.96,2020-04-09
Nayarit,29.62,6.25,0,2020-04-09
Baja California,27.58,7.21,0,2020-04-09
Sinaloa,23.57,20.98,73.33,2020-04-09
Coahuila de Zaragoza,20,2.04,5.55,2020-04-09
Baja California Sur,19.6,50,0,2020-04-09
Tlaxcala,17.94,3.84,0,2020-04-09
Quintana Roo,16.52,9.87,18.18,2020-04-09
Puebla,14.91,3.52,20.83,2020-04-09
Durango,13.72,0,0,2020-04-09
Morelos,12.98,0,0,2020-04-09
Chiapas,12.5,0,0,2020-04-09
Chihuahua,12.12,5.88,0,2020-04-09
Michoacán de Ocampo,11.76,3.55,7.89,2020-04-09
Oaxaca,11.29,12.5,22.22,2020-04-09
Guerrero,11.11,21.05,0,2020-04-09
Hidalgo,9.09,6.89,0,2020-04-09
Sonora,8.18,3.12,4.76,2020-04-09
Veracruz de Ignacio de La Llave,7.93,3.3,20,2020-04-09
Querétaro,6.96,3.84,26.66,2020-04-09
Tabasco,6.34,1.85,0,2020-04-09
San Luis Potosí,5.88,1.22,0,2020-04-09
Tamaulipas,5.63,0,0,2020-04-09
Guanajuato,5.49,3.06,4.34,2020-04-09
Yucatán,5.09,3.92,15.38,2020-04-09
Jalisco,4.98,3.8,2.17,2020-04-09
Campeche,3.57,4,0,2020-04-09
Aguascalientes,1.47,4.16,0,2020-04-09
Nuevo León,0.86,0.6,0,2020-04-09
Colima,0.5,0,0,2020-04-09
Zacatecas,0,1.56,0,2020-04-09
México,32.91,17.34,23.86,2020-04-10
Ciudad de México,32.79,23.56,43.33,2020-04-10
Durango,29.03,0,0,2020-04-10
Guerrero,28.12,6.25,6.66,2020-04-10
Baja California,27.27,6,0,2020-04-10
Nayarit,26.92,5.88,0,2020-04-10
Sinaloa,22.14,14.45,0,2020-04-10
Coahuila de Zaragoza,21.29,3.17,22.22,2020-04-10
Puebla,18.91,2.22,20.83,2020-04-10
Morelos,17.72,1.72,6.66,2020-04-10
Quintana Roo,16.27,12.04,10,2020-04-10
Tlaxcala,15.78,3.84,20,2020-04-10
Chiapas,15.38,0,0,2020-04-10
Hidalgo,12.76,7.69,0,2020-04-10
Chihuahua,10.84,7.09,0,2020-04-10
Querétaro,10.37,3.14,31.25,2020-04-10
Veracruz de Ignacio de La Llave,9.9,4.42,20,2020-04-10
Baja California Sur,9.52,71.42,0,2020-04-10
San Luis Potosí,9.49,1.28,0,2020-04-10
Michoacán de Ocampo,8.33,5.42,11.11,2020-04-10
Sonora,8.25,3.12,0,2020-04-10
Tabasco,7.93,0,0,2020-04-10
Oaxaca,6.32,7.04,10.34,2020-04-10
Tamaulipas,5.63,1.58,0,2020-04-10
Yucatán,4.62,3.88,14.28,2020-04-10
Guanajuato,4.6,0,0,2020-04-10
Jalisco,4.45,3.26,4.44,2020-04-10
Campeche,3.57,4,0,2020-04-10
Colima,1.48,0,0,2020-04-10
Nuevo León,0.67,1.82,0,2020-04-10
Aguascalientes,0.6,5.4,0,2020-04-10
Zacatecas,0,1.61,0,2020-04-10
Ciudad de México,35.69,30.68,57.48,2020-04-11
México,33.53,19.2,24.29,2020-04-11
Sinaloa,27.89,18.51,0,2020-04-11
Baja California,27.01,4.21,0,2020-04-11
Durango,25.42,0,0,2020-04-11
Morelos,21.68,5.17,12.5,2020-04-11
Baja California Sur,21.53,22.22,0,2020-04-11
Coahuila de Zaragoza,17.41,5.33,11.76,2020-04-11
Nayarit,16.21,9.52,0,2020-04-11
Guerrero,15.47,8,18.18,2020-04-11
Puebla,15.38,1.51,22.72,2020-04-11
Hidalgo,15.09,7.69,0,2020-04-11
Sonora,13.7,3.37,10,2020-04-11
Quintana Roo,13.53,10.81,10,2020-04-11
Veracruz de Ignacio de La Llave,11.79,2.75,14.28,2020-04-11
Chiapas,10.25,5.88,0,2020-04-11
Oaxaca,9.28,6.94,12,2020-04-11
Chihuahua,8.8,9.62,0,2020-04-11
San Luis Potosí,7.69,1.23,4.34,2020-04-11
Michoacán de Ocampo,7.67,5.26,13.88,2020-04-11
Tamaulipas,6.32,1.56,0,2020-04-11
Tabasco,6.25,0,0,2020-04-11
Querétaro,5.97,4.42,0,2020-04-11
Yucatán,4.9,1.81,12.5,2020-04-11
Guanajuato,4.76,2.02,4.34,2020-04-11
Tlaxcala,3.6,3.12,20,2020-04-11
Jalisco,3.25,4.82,4.44,2020-04-11
Aguascalientes,2.85,5.88,0,2020-04-11
Nuevo León,2.83,1.92,15.38,2020-04-11
Zacatecas,2.77,1.69,16.66,2020-04-11
Colima,1.49,0,0,2020-04-11
Campeche,0,8,0,2020-04-11
Ciudad de México,42.68,25.09,37.31,2020-04-12
México,31.2,15.71,13.72,2020-04-12
Oaxaca,29.16,6.15,16.66,2020-04-12
Baja California,27.01,4.21,0,2020-04-12
Morelos,25.3,6.77,13.33,2020-04-12
