"Unidad médica","Estado","Institución","CLUES","% de Ocupación"
"Hospital General 450","Durango","SSA","DGSSA017872","100"
"Dr. Fernando Quiroz Gutierrez","Ciudad de México","ISSSTE","DFIST000196","100"
"Lic. Adolfo Lopez Mateos","Ciudad de México","ISSSTE","DFIST000201","100"
"Hospital General Dr. Manuel Gea González","Ciudad de México","SSA/CC","DFSSA003961","100"
"Zitacuaro","Michoacán de Ocampo","ISSSTE","MNIST000231","100"
"Teziutlan","Puebla","ISSSTE","PLIST000171","100"
"Dr. Jorge Soberon Acevedo","Guerrero","SSA","GRSSA004490","100"
"Aguascalientes","Aguascalientes","ISSSTE","ASIST000016","100"
"Hgs 54 Silao","Guanajuato","IMSS","GTIMS000506","100"
"Hgz 5 Metepec","Puebla","IMSS","PLIMS000043","100"
"Hospital Comunitario Purisima del Rincon","Guanajuato","SSA","GTSSA005432","100"
"Hospital Comunitario Las Joyas","Guanajuato","SSA","GTSSA005613","100"
"Comitan de Dominguez","Chiapas","ISSSTE","CSIST000065","100"
"Leon","Guanajuato","ISSSTE","GTIST000091","100"
"19","Guanajuato","SSA","GTSSA002101","100"
"Hospital General Navojoa","Sonora","SSA","SRSSA001670","100"
"Hospital Militar Regional de Puebla Pue.","Puebla","SEDENA","PLSDN000015","100"
"Irapuato","Guanajuato","ISSSTE","GTIST000086","100"
"Hospital Comunitario Abasolo","Guanajuato","SSA","GTSSA017344","100"
"Hgz 14 C/unidad Quemados","Sonora","IMSS","SRIMS000900","100"
"Hospital Comunitario Apaseo El Grande","Guanajuato","SSA","GTSSA000585","100"
"Mazatlan","Sinaloa","ISSSTE","SLIST000196","100"
"Celaya","Guanajuato","ISSSTE","GTIST000045","100"
"Tehuacan","Puebla","ISSSTE","PLIST000154","100"
"Hospital General Regional No. 2 El Marques","Querétaro","IMSS","QTIMS000285","100"
"Hgr 1 Queretaro","Querétaro","IMSS","QTIMS000092","100"
"Guanajuato","Guanajuato","ISSSTE","GTIST000074","100"
"Hgz 3 S. Juan del Rio","Querétaro","IMSS","QTIMS000186","100"
"Hospital General Balbuena","Ciudad de México","SSA","DFSSA003722","100"
"Hes Cmn Siglo Xxi","Ciudad de México","IMSS","DFIMS000580","100"
"Hcard Cmn Siglo Xxi","Ciudad de México","IMSS","DFIMS000575","100"
"Hgz 27 Tlatelolco","Ciudad de México","IMSS","DFIMS000621","100"
"Hospital General Xoco","Ciudad de México","SSA","DFSSA003162","100"
"Los Mochis","Sinaloa","ISSSTE","SLIST000015","100"
"Hgz 1 Carlos Mcgregor","Ciudad de México","IMSS","DFIMS000534","100"
"Tacuba","Ciudad de México","ISSSTE","DFIST000534","100"
"Hospital Central Militar","Ciudad de México","SEDENA","DFSDN000086","100"
"Hospital Militar de Especialidades de La Mujer Y Neonatologia","Ciudad de México","SEDENA","DFSDN000062","100"
"Hospital General Milpa Alta","Ciudad de México","SSA","DFSSA002066","100"
"Gral. Ignacio Zaragoza","Ciudad de México","ISSSTE","DFIST000160","100"
"Hgz 47 Vicente Guerrero","Ciudad de México","IMSS","DFIMS000365","100"
"Villamar","Michoacán de Ocampo","IMSS-BIENESTAR","MNIMO003942","100"
"Charcas","San Luis Potosí","IMSS-BIENESTAR","SPIMO000546","100"
"Gral. Jose Maria Morelos Y Pavon","Ciudad de México","ISSSTE","DFIST000155","100"
"Instituto Nacional de Cancerología","Ciudad de México","SSA/CC","DFSSA004043","100"
"81/o. Batallón de Infanteria","Ciudad de México","SEDENA","DFSDN000115","100"
"Hgzmf 1 San Luis Potosi","San Luis Potosí","IMSS","SPIMS000171","100"
"Ort Magdalena Salinas","Ciudad de México","IMSS","DFIMS000196","100"
"Hgz 24 Insurgentes","Ciudad de México","IMSS","DFIMS000225","100"
"Hgzmf 29 S. Juan Aragon","Ciudad de México","IMSS","DFIMS000230","100"
"Hospital Juárez de México","Ciudad de México","SSA/CC","DFSSA003944","100"
"Primero de Octubre","Ciudad de México","ISSSTE","DFIST000090","100"
"Hospital General Villa","Ciudad de México","SSA","DFSSA000881","100"
"Hgz No. 48 San Pedro Xalpa","Ciudad de México","IMSS","DFIMS000831","100"
"San Luis Potosi","San Luis Potosí","ISSSTE","SPIST000113","100"
"Instituto Nacional de Neurología Y Neurocirugía Manuel Velasco Suárez","Ciudad de México","SSA/CC","DFSSA004060","100"
"Instituto Nacional de Ciencias Médicas Y Nutrición Salvador Zubirán","Ciudad de México","SSA/CC","DFSSA004055","100"
"Instituto Nacional de Pediatría","Ciudad de México","SSA/CC","DFSSA004014","100"
"Instituto Nacional de Enfermedades Respiratorias Ismael Cosío Villegas","Ciudad de México","SSA/CC","DFSSA004026","100"
"Hgzmf 8 San Angel","Ciudad de México","IMSS","DFIMS000464","100"
"H.g. Chimalhuacán","México","SSA","MCSSA002020","100"
"Hgz 53 Los Reyes Paz","México","IMSS","MCIMS000676","100"
"Hgzmf 76 Xalostoc","México","IMSS","MCIMS000232","100"
"Hgr 196 Fidel Velazquez","México","IMSS","MCIMS000244","100"
"Hgz 98 Coacalco","México","IMSS","MCIMS000080","100"
"Hgzmf 2 Zacapu","Michoacán de Ocampo","IMSS","MNIMS000494","100"
"Hgz 194 El Molinito","México","IMSS","MCIMS000326","100"
