"Estado","% Ocupación"
"Baja California","47.15"
"Chihuahua","45.91"
"Aguascalientes","45.83"
"Sonora","37.16"
"Puebla","37.04"
"Coahuila de Zaragoza","35.52"
"Durango","30.76"
"Sinaloa","27.94"
"Nuevo León","24.65"
"Guanajuato","22.49"
"Colima","21.87"
"San Luis Potosí","21.48"
"Jalisco","16.76"
"Querétaro","14.49"
"Ciudad de México","14.46"
"Nayarit","14.42"
"México","13.25"
"Oaxaca","13.17"
"Tamaulipas","12.14"
"Veracruz de Ignacio de La Llave","11.99"
"Zacatecas","11.57"
"Morelos","11.41"
"Guerrero","11.21"
"Hidalgo","10.75"
"Michoacán de Ocampo","9.46"
"Quintana Roo","8.00"
"Tabasco","7.33"
"Tlaxcala","6.36"
"Yucatán","4.55"
"Chiapas","3.07"
"Baja California Sur","2.38"
"Campeche","1.16"
