"Estado","% Ocupación"
"Durango","81.27"
"Aguascalientes","73.73"
"Ciudad de México","72.08"
"Chihuahua","66.40"
"Nuevo León","65.32"
"Zacatecas","64.84"
"San Luis Potosí","63.35"
"Hidalgo","56.62"
"Coahuila de Zaragoza","56.48"
"Sonora","49.53"
"Jalisco","48.99"
"Baja California Sur","48.21"
"Tamaulipas","47.92"
"Baja California","47.11"
"Sinaloa","46.97"
"Nayarit","45.94"
"Querétaro","44.85"
"Quintana Roo","43.70"
"Guanajuato","42.89"
"México","42.57"
"Puebla","40.09"
"Colima","39.04"
"Morelos","36.50"
"Oaxaca","35.11"
"Guerrero","33.67"
"Michoacán de Ocampo","26.82"
"Veracruz de Ignacio de La Llave","25.93"
"Tabasco","23.02"
"Yucatán","17.47"
"Tlaxcala","17.24"
"Campeche","6.89"
"Chiapas","3.12"
