"Estado","% Ocupación"
"Durango","70.83"
"Ciudad de México","63.21"
"Nayarit","58.24"
"Hidalgo","58.20"
"Colima","57.81"
"Guerrero","57.44"
"Sinaloa","54.57"
"Quintana Roo","49.32"
"Veracruz de Ignacio de La Llave","47.53"
"Nuevo León","46.31"
"Baja California Sur","45.65"
"Sonora","43.58"
"Oaxaca","41.47"
"México","39.64"
"Jalisco","38.71"
"Tlaxcala","33.80"
"Tamaulipas","33.26"
"Puebla","29.78"
"Michoacán de Ocampo","27.60"
"Tabasco","25.55"
"Querétaro","24.91"
"Aguascalientes","24.52"
"Zacatecas","22.00"
"Morelos","21.13"
"Baja California","18.71"
"Yucatán","17.84"
"Chihuahua","17.01"
"Coahuila de Zaragoza","16.00"
"San Luis Potosí","14.57"
"Chiapas","12.59"
"Campeche","9.83"
"Guanajuato","8.23"
