"Estado","% Ocupación"
"México","8.82"
"San Luis Potosí","5.55"
"Yucatán","5.55"
"Jalisco","4.00"
"Puebla","3.92"
"Tabasco","2.08"
"Nuevo León","1.69"
"Ciudad de México","1.49"
"Coahuila de Zaragoza","0.00"
"Quintana Roo","0.00"
"Baja California Sur","0.00"
"Baja California","0.00"
"Chihuahua","0.00"
"Tamaulipas","0.00"
"Nayarit","0.00"
"Michoacán de Ocampo","0.00"
"Oaxaca","0.00"
"Sinaloa","0.00"
"Hidalgo","0.00"
"Chiapas","0.00"
"Aguascalientes","0.00"
"Morelos","0.00"
"Zacatecas","0.00"
"Sonora","0.00"
"Guerrero","0.00"
"Guanajuato","0.00"
"Durango","0.00"
"Colima","0.00"
"Campeche","0.00"
"Querétaro","0.00"
"Veracruz de Ignacio de La Llave","0.00"
"Tlaxcala","0.00"
