"Estado","% Ocupación"
"Baja California Sur","58.03"
"Yucatán","51.72"
"Tabasco","33.33"
"Sonora","27.22"
"Ciudad de México","26.17"
"Sinaloa","26.02"
"Tamaulipas","25.11"
"Colima","22.03"
"Oaxaca","21.05"
"Quintana Roo","20.17"
"Nayarit","17.72"
"Nuevo León","16.70"
"Baja California","12.54"
"Hidalgo","12.14"
"Veracruz de Ignacio de La Llave","12.08"
"Tlaxcala","11.68"
"San Luis Potosí","10.44"
"Durango","9.75"
"Jalisco","9.25"
"México","9.18"
"Aguascalientes","8.73"
"Campeche","8.14"
"Chihuahua","7.64"
"Michoacán de Ocampo","7.58"
"Coahuila de Zaragoza","6.80"
"Chiapas","6.13"
"Guerrero","4.61"
"Zacatecas","4.61"
"Puebla","2.85"
"Querétaro","2.40"
"Guanajuato","1.59"
"Morelos","0.00"
