"Estado","% Ocupación"
"Aguascalientes","39.28"
"Baja California","39.01"
"Chihuahua","32.91"
"Sonora","32.82"
"Durango","21.66"
"Coahuila de Zaragoza","18.98"
"Baja California Sur","15.38"
"Zacatecas","14.54"
"Nuevo León","14.36"
"Ciudad de México","9.84"
"Morelos","8.51"
"Oaxaca","8.33"
"Nayarit","8.10"
"Puebla","7.94"
"Tlaxcala","7.93"
"Tamaulipas","7.69"
"San Luis Potosí","7.43"
"Querétaro","7.17"
"Guanajuato","6.96"
"Sinaloa","6.71"
"Jalisco","5.80"
"Yucatán","5.19"
"Veracruz de Ignacio de La Llave","5.18"
"Tabasco","3.33"
"Michoacán de Ocampo","2.98"
"Hidalgo","2.97"
"México","2.73"
"Colima","2.43"
"Guerrero","1.87"
"Quintana Roo","1.12"
"Chiapas","0.39"
"Campeche","0.00"
