"Unidad médica","Estado","Institución","CLUES","% de Ocupación"
"30/o. Batallón de Infantería","Michoacán de Ocampo","SEDENA","MNSDN000080","100"
"Umf 162 C/umaa","Ciudad de México","IMSS","DFIMS000826","100"
"Hospital General Pabellón de Arteaga","Aguascalientes","SSA","ASSSA000614","100"
"Umf 120 Zaragoza","Ciudad de México","IMSS","DFIMS000382","100"
"Hgzmf 1 Pachuca","Hidalgo","IMSS","HGIMS000082","100"
"Hgz 197 Texcoco","México","IMSS","MCIMS000961","100"
"Hgz 1 Carlos Mcgregor","Ciudad de México","IMSS","DFIMS000534","100"
"Matehuala","San Luis Potosí","ISSSTE","SPIST000084","100"
"Matehuala","San Luis Potosí","IMSS-BIENESTAR","SPIMO000732","100"
"Hospital Central Dr. Ignacio Morones Prieto","San Luis Potosí","SSA","SPSSA001102","100"
"Hospital General Calvillo","Aguascalientes","SSA","ASSSA000404","100"
"Dr. Baudelio Villanueva","Tamaulipas","ISSSTE","TSIST000100","100"
"Hg Adolfo Prieto","Guerrero","SSA","GRSSA012535","100"
"Hospital Militar Regional de Puebla Pue.","Puebla","SEDENA","PLSDN000015","100"
"Hgzmf 4 Iguala","Guerrero","IMSS","GRIMS000112","100"
"Dr. Dario Fernandez Fierro","Ciudad de México","ISSSTE","DFIST000324","100"
"Hr_issste","Puebla","ISSSTE","PLIST000101","100"
"6/o. Regimiento Bilndado de Recnocimiento","Puebla","SEDENA","PLSDN000155","100"
"Hospital General de Tulancingo","Hidalgo","SSA","HGSSA018000","100"
"Dr. Rafael Barba Ocampo","Morelos","ISSSTE","MSIST000025","100"
"Hospital Regional de Delicias","Chihuahua","SSA","CHSSA001026","100"
"Presidente Gral. Lazaro Cardenas","Chihuahua","ISSSTE","CHIST000030","100"
"Doctors Hospital","Nuevo León","SMP","NLSMP001085","100"
"Hgzmf 2 Monterrey","Nuevo León","IMSS","NLIMS000373","100"
"Hg Putla Amigo del Niño Y de La Madre","Oaxaca","SSA","OCSSA020655","100"
"Hospital Regional de Alta Especialidad de La Península de Yucatán","Yucatán","SSA/CC","YNSSA013423","100"
"Hospital General Agustín O´horán","Yucatán","SSA","YNSSA000565","100"
"Hgs 33 Tizayuca","Hidalgo","IMSS","HGIMS000135","100"
"Heroica Ciudad de Huajuapan de León","Oaxaca","IMSS-BIENESTAR","OCIMO000335","100"
"Hg Huajuapan Enf. María del Pilar Sánchez Villavicencio","Oaxaca","SSA","OCSSA000524","100"
"Hospital General Guanajuato ´´dr. Valentín Gracia´´","Guanajuato","SSA","GTSSA001454","100"
"Cd. Valles","San Luis Potosí","ISSSTE","SPIST000055","100"
