"Unidad médica","Estado","Institución","CLUES","% de Ocupación"
"Hes Cm La Raza","Ciudad de México","IMSS","DFIMS000020","100"
"Bicentenario de La Independencia","México","ISSSTE","MCIST000425","100"
"Mazatlan","Sinaloa","ISSSTE","SLIST000196","100"
"Hgz 57 La Quebrada","México","IMSS","MCIMS000874","100"
"Hospital Regional Cocula","Jalisco","SSA","JCSSA001401","100"
"Hgz 3 Tuxtepec","Oaxaca","IMSS","OCIMS000182","100"
"Gral. Jose Maria Morelos Y Pavon","Ciudad de México","ISSSTE","DFIST000155","100"
"Hospital General del Valle del Mezquital Ixmiquilpan","Hidalgo","SSA","HGSSA001590","100"
"Charcas","San Luis Potosí","IMSS-BIENESTAR","SPIMO000546","100"
"Hospital General Dr. Manuel Gea González","Ciudad de México","SSA/CC","DFSSA003961","100"
"Hospital General Rincón de Romos","Aguascalientes","SSA","ASSSA000655","100"
"Hgr 45 Guadalajara","Jalisco","IMSS","JCIMS000366","100"
"Guanajuato","Guanajuato","ISSSTE","GTIST000074","100"
"Clínica Hospital Mérida","Yucatán","ISSSTE","YNIST000170","100"
"Hospital Para El Niño Imiem","México","SME","MCSME000011","100"
"Instituto Nacional de Neurología Y Neurocirugía Manuel Velasco Suárez","Ciudad de México","SSA/CC","DFSSA004060","100"
"Gral. Ignacio Zaragoza","Ciudad de México","ISSSTE","DFIST000160","100"
"San Luis Potosi","San Luis Potosí","ISSSTE","SPIST000113","100"
"Lic. Adolfo Lopez Mateos","Ciudad de México","ISSSTE","DFIST000201","100"
"Presidente Benito Juarez","Oaxaca","ISSSTE","OCIST000112","83"
"Hg Hospital General Altamira Dr Rodolfo Torre Cantú","Tamaulipas","SSA","TSSSA018514","83"
"19 (extensión Hospital Pachuca)","Hidalgo","SSA","HGSSA005020","80"
"Hospital General de Huamantla","Tlaxcala","SSA","TLSSA017983","80"
"Instituto Nacional de Enfermedades Respiratorias Ismael Cosío Villegas","Ciudad de México","SSA/CC","DFSSA004026","80"
"Hgr 1 Culiacán","Sinaloa","IMSS","SLIMS000131","78"
"Hospital General Iztapalapa","Ciudad de México","SSA","DFSSA001540","75"
"Hospital General de Tulancingo","Hidalgo","SSA","HGSSA018000","75"
"Hospital General Tula","Hidalgo","SSA","HGSSA015532","73"
"Hospital General de Occidente","Jalisco","SSA","JCSSA007066","72"
"Hospital Materno Perinatal Mónica Pretelini Sáenz","México","SSA","MCSSA007673","71"
"Monterrey","Nuevo León","ISSSTE","NLIST000105","69"
"Hospital Regional de Puerto Vallarta","Jalisco","SSA","JCSSA004230","69"
"Primero de Octubre","Ciudad de México","ISSSTE","DFIST000090","69"
"Hgz 83 Morelia","Michoacán de Ocampo","IMSS","MNIMS000593","67"
"20 de Noviembre","Ciudad de México","ISSSTE","DFIST000312","64"
"Centro Médico Naval","Ciudad de México","SEMAR","DFSMA000010","60"
"Veracruz","Veracruz de Ignacio de La Llave","ISSSTE","VZIST000301","57"
"Hgz 1 Tepic","Nayarit","IMSS","NTIMS000190","57"
"H.g. Tenancingo","México","SSA","MCSSA006430","56"
"Hospital General de Zona No. 1","Colima","IMSS","CMIMS000186","55"
"Hg  Juárez","Chihuahua","SSA","CHSSA001801","53"
"Hgzmf 8 San Angel","Ciudad de México","IMSS","DFIMS000464","53"
"Hospital General Ajusco Medio","Ciudad de México","SSA","DFSSA018166","52"
"Hospital General Uriangato","Guanajuato","SSA","GTSSA004650","50"
"Hgz 30 Mexicali","Baja California","IMSS","BCIMS000122","50"
"Hospital Regional de Ameca","Jalisco","SSA","JCSSA000165","50"
"Hgz 2 Tuxtla Gutiérrez","Chiapas","IMSS","CSIMS000251","50"
"Dr. Fernando Quiroz Gutierrez","Ciudad de México","ISSSTE","DFIST000196","50"
"Hg Maravatio","Michoacán de Ocampo","SSA","MNSSA016475","50"
"Centro Médico del Noroeste S.a.de C.v.","Sonora","SMP","SRSMP000401","50"
"Centro Médico Issemym Lic. Arturo Montiel Rojas Issemym","México","SME","MCSME000921","50"
"Hospital General Los Mochis","Sinaloa","SSA","SLSSA000024","50"
"Cd. Cancun","Quintana Roo","ISSSTE","QRIST000055","50"
